Designator,Mid X,Mid Y,Rotation,Layer
C1,114.062821,-113.6904,0.0,top
C2,114.066,-102.9208,0.0,top
C3,137.481621,-107.0864,0.0,top
C4,156.3624,-96.9264,180.0,top
C5,156.6164,-67.9704,180.0,top
DS1,107.69245,-79.30515,0.0,top
J1,77.1036,-44.866,0.0,top
J10,129.58,-55.118,0.0,top
J11,152.6432,-115.7224,0.0,top
J12,167.3444,-115.7224,0.0,top
J13,132.6388,-116.7384,270.0,top
J2,90.2227,-44.866,0.0,top
J3,103.3418,-44.866,0.0,top
J4,116.4609,-44.866,0.0,top
J5,129.58,-44.866,0.0,top
J6,77.1036,-55.118,0.0,top
J7,90.2227,-55.118,0.0,top
J8,103.3418,-55.118,0.0,top
J9,116.4609,-55.118,0.0,top
Q1,162.56,-108.4834,0.0,top
Q2,168.8084,-108.3818,0.0,top
R1,166.4716,-76.4032,90.0,top
R2,171.8564,-57.15,90.0,top
R3,171.9072,-76.6064,90.0,top
R4,166.3192,-95.0976,90.0,top
R5,171.958,-94.6912,90.0,top
R6,166.624,-57.0992,90.0,top
R7,159.9692,-57.15,90.0,top
R8,145.1864,-108.0008,90.0,top
SW1,156.4132,-73.66,0.0,top
SW2,156.5668,-88.8852,0.0,top
U1,126.0348,-106.0196,0.0,top
U2,88.0008,-110.522,0.0,top
